CountyName,Year,beef,milk,steers,bulls,dairy_150,dairy_440,fin_cattle,hogs_fin,hogs_sow,hogs_boars
APPANOOSE,1972,27900,1400,13237,1395,288,288,8051,162393,3172,63434
APPANOOSE,1973,29400,1500,12046,1470,349,349,5282,163059,3140,62810
APPANOOSE,1974,29000,1600,10749,1450,476,476,4883,161726,2719,54372
APPANOOSE,1975,30900,1200,7521,1545,406,406,3307,161259,2855,57090
APPANOOSE,1976,33800,1000,9589,1690,403,403,4096,28033,3150,62997
APPANOOSE,1977,34224,1016,9527,1711,365,365,4176,26467,3376,67528
APPANOOSE,1978,33300,1000,10592,1665,333,333,4597,28000,3562,71247
APPANOOSE,1979,31500,900,10154,1575,248,248,4351,31333,3290,65810
APPANOOSE,1980,31500,800,8712,1575,178,178,3904,31000,3273,65466
APPANOOSE,1981,34000,800,8587,1700,151,151,3762,30401,3220,64403
APPANOOSE,1982,32500,800,7082,1625,222,222,3261,28333,2790,55810
APPANOOSE,1983,27300,800,7584,1365,277,277,3395,28333,2844,56872
APPANOOSE,1984,24100,500,6268,1205,142,142,2689,27333,2703,54060
APPANOOSE,1985,22900,400,5516,1145,138,138,2505,27333,2578,51560
APPANOOSE,1986,22000,400,5641,1100,115,115,2547,19333,2476,49529
APPANOOSE,1987,23000,600,6205,1150,255,255,3068,14667,2609,52185
APPANOOSE,1988,26000,700,6236,1300,233,233,3079,15667,2500,49997
APPANOOSE,1989,26000,700,5766,1300,239,239,2755,14333,2625,52497
APPANOOSE,1990,22800,700,6142,1140,331,331,2941,13113,2500,49997
APPANOOSE,1991,23123,611,6456,1156,259,259,3107,12139,2812,56247
APPANOOSE,1992,23491,584,5516,1175,246,246,2854,10770,2656,53122
APPANOOSE,1993,23649,557,5578,1182,220,220,2935,9459,2656,53122
APPANOOSE,1994,23692,541,5766,1185,200,200,3059,8030,2344,46872
APPANOOSE,1995,24515,492,5704,1226,177,177,3099,6549,2125,42498
APPANOOSE,1996,24214,462,5641,1211,152,152,3138,5115,1953,39061
APPANOOSE,1997,24493,400,6268,1225,103,103,3408,4130,48,956
APPANOOSE,1998,23571,396,6268,1179,116,116,3156,3678,39,772
APPANOOSE,1999,23955,380,6393,1198,110,110,3331,3146,30,594
APPANOOSE,2000,24107,364,6894,1205,104,104,3498,2588,23,452
APPANOOSE,2001,23200,325,6581,1160,105,105,3327,2079,16,325
APPANOOSE,2002,22139,350,1651,1107,105,105,1811,1552,9,180
APPANOOSE,2003,23000,300,1402,1150,88,88,1801,1611,8,157
APPANOOSE,2004,21000,600,1319,1050,153,153,1606,1668,7,146
APPANOOSE,2005,22500,546,1352,1125,148,148,1451,1722,7,134
APPANOOSE,2006,23000,600,1423,1150,163,163,1141,1792,6,120
APPANOOSE,2007,16697,341,2051,835,87,87,1455,1903,5,100
APPANOOSE,2008,17800,300,1655,890,69,69,1353,2037,5,95
APPANOOSE,2009,17100,300,1650,855,74,74,1380,2030,5,103
APPANOOSE,2010,16500,300,1787,825,77,77,1455,2062,5,106
APPANOOSE,2011,15900,300,1879,795,84,84,1515,2112,5,109
APPANOOSE,2012,12355,295,2183,618,86,86,1646,3499,12,238
APPANOOSE,2013,12900,300,1637,645,85,85,1462,1833,5,108
APPANOOSE,2014,12200,300,1440,610,89,89,1394,1546,6,112
APPANOOSE,2015,13000,300,1286,650,99,99,1340,1237,6,114
APPANOOSE,2016,14200,300,1158,710,115,115,1295,947,6,114
APPANOOSE,2017,15546,169,1363,777,62,62,1361,648,6,111
APPANOOSE,2018,15700,200,1080,785,77,77,1267,657,6,113
APPANOOSE,2019,15400,200,1096,770,77,77,1272,669,6,117
AUDUBON,1968,12600,4700,1588,630,10933,10933,1436,51888,14,290
AUDUBON,1969,14300,4400,1827,715,9736,9736,1516,43722,13,270
AUDUBON,1970,14900,4100,1827,745,9217,9217,1516,51055,13,267
AUDUBON,1971,15300,3500,1644,765,7614,7614,1455,49722,11,225
