CountyName,Year,State,CN_lb/ac
BENTON,1998,IA,59.64439891
BENTON,1999,IA,59.15238447
BENTON,2000,IA,59.2952529
BENTON,2001,IA,50.03476605
BENTON,2002,IA,52.26503164
BENTON,2003,IA,61.98847954
BENTON,2004,IA,59.26130846
BENTON,2005,IA,67.39110648
BENTON,2006,IA,62.04807397
BENTON,2007,IA,78.1584974
BENTON,2008,IA,76.39907078
BENTON,2009,IA,69.30771751
BENTON,2010,IA,64.30038045
BENTON,2011,IA,83.41112208
BENTON,2012,IA,77.538902
BENTON,2013,IA,69.89668127
BENTON,2014,IA,61.74067276
BENTON,2015,IA,62.30360044
BENTON,2016,IA,66.3681695
BENTON,2017,IA,67.56258774
BENTON,2018,IA,60.94689024
BENTON,2019,IA,61.65636546
BLACK HAWK,1968,IA,38.96630592
BLACK HAWK,1969,IA,36.60959166
BLACK HAWK,1970,IA,37.32929222
BLACK HAWK,1971,IA,36.53775565
BLACK HAWK,1972,IA,37.65005646
BLACK HAWK,1973,IA,45.95597619
BLACK HAWK,1974,IA,50.07025427
BLACK HAWK,1975,IA,48.52355774
BLACK HAWK,1976,IA,62.66265827
BLACK HAWK,1977,IA,53.3521453
BLACK HAWK,1978,IA,49.50026856
BLACK HAWK,1979,IA,58.51800731
BLACK HAWK,1980,IA,57.58339724
BLACK HAWK,1981,IA,62.56448685
BLACK HAWK,1982,IA,53.52088434
BLACK HAWK,1983,IA,54.37784319
BLACK HAWK,1984,IA,58.00533389
BLACK HAWK,1985,IA,63.95705546
BLACK HAWK,1986,IA,51.83473515
BLACK HAWK,1987,IA,58.77596319
BLACK HAWK,1988,IA,64.37911905
BLACK HAWK,1989,IA,59.19617302
BLACK HAWK,1990,IA,60.44266455
BLACK HAWK,1991,IA,58.51105945
BLACK HAWK,1992,IA,57.02020276
BLACK HAWK,1993,IA,51.98625025
BLACK HAWK,1994,IA,64.7507996
BLACK HAWK,1995,IA,54.46372747
BLACK HAWK,1996,IA,65.78911914
BLACK HAWK,1997,IA,59.10985944
BLACK HAWK,1998,IA,58.29275945
BLACK HAWK,1999,IA,57.36575976
BLACK HAWK,2000,IA,53.63923312
BLACK HAWK,2001,IA,52.37146048
BLACK HAWK,2002,IA,51.47706459
BLACK HAWK,2003,IA,57.24968149
BLACK HAWK,2004,IA,58.3481106
BLACK HAWK,2005,IA,65.68910155
BLACK HAWK,2006,IA,60.36602276
BLACK HAWK,2007,IA,67.68817023
BLACK HAWK,2008,IA,74.62668892
BLACK HAWK,2009,IA,59.5915353
BLACK HAWK,2010,IA,62.74939918
BLACK HAWK,2011,IA,81.29993943
BLACK HAWK,2012,IA,75.56679394
